component_id,role,owner_link,native_part,transform_error,status
S04_PCD14_CHILD_STANDOFF_right_hip_pitch,sts3250_pcd14_child_standoff_to_carrier,3215_BothFlange_6,ZEROTH01_V4_STS3250_PCD14_CHILD_STANDOFF_1MM.SLDPRT,0.0,PASS
S14_STS3250_left_knee_pitch,purchased_exact_sts3250,3215_BothFlange_13,ZEROTH01_V4_STS3250_STEP_PARTS_EXACT_SHAFT_FRAME.SLDPRT,0.0,PASS
S14_PCD14_OUTPUT_BRIDGE_left_knee_pitch,sts3250_pcd14_output_bridge_to_child,3215_BothFlange_9,ZEROTH01_V4_STS3250_PCD14_OUTPUT_BRIDGE_2P05MM.SLDPRT,0.0,PASS
S14_PCD14_CHILD_STANDOFF_left_knee_pitch,sts3250_pcd14_child_standoff_to_carrier,3215_BothFlange_9,ZEROTH01_V4_STS3250_PCD14_CHILD_STANDOFF_1MM.SLDPRT,0.0,PASS
S13_STS3250_right_knee_pitch,purchased_exact_sts3250,3215_BothFlange_14,ZEROTH01_V4_STS3250_STEP_PARTS_EXACT_SHAFT_FRAME.SLDPRT,0.0,PASS
S13_PCD14_OUTPUT_BRIDGE_right_knee_pitch,sts3250_pcd14_output_bridge_to_child,3215_BothFlange_10,ZEROTH01_V4_STS3250_PCD14_OUTPUT_BRIDGE_2P05MM.SLDPRT,0.0,PASS
S13_PCD14_CHILD_STANDOFF_right_knee_pitch,sts3250_pcd14_child_standoff_to_carrier,3215_BothFlange_10,ZEROTH01_V4_STS3250_PCD14_CHILD_STANDOFF_1MM.SLDPRT,0.0,PASS
S16_STS3250_left_ankle_pitch,purchased_exact_sts3250,3215_BothFlange_13,ZEROTH01_V4_STS3250_STEP_PARTS_EXACT_SHAFT_FRAME.SLDPRT,0.0,PASS
S16_PCD14_OUTPUT_BRIDGE_left_ankle_pitch,sts3250_pcd14_output_bridge_to_child,left_ankle_roll_carrier,ZEROTH01_V4_STS3250_PCD14_OUTPUT_BRIDGE_2P05MM.SLDPRT,0.0,PASS
S16_PCD14_CHILD_STANDOFF_left_ankle_pitch,sts3250_pcd14_child_standoff_to_carrier,left_ankle_roll_carrier,ZEROTH01_V4_STS3250_PCD14_CHILD_STANDOFF_12P95MM.SLDPRT,0.0,PASS
S15_STS3250_right_ankle_pitch,purchased_exact_sts3250,3215_BothFlange_14,ZEROTH01_V4_STS3250_STEP_PARTS_EXACT_SHAFT_FRAME.SLDPRT,0.0,PASS
S15_PCD14_OUTPUT_BRIDGE_right_ankle_pitch,sts3250_pcd14_output_bridge_to_child,right_ankle_roll_carrier,ZEROTH01_V4_STS3250_PCD14_OUTPUT_BRIDGE_2P05MM.SLDPRT,0.0,PASS
S15_PCD14_CHILD_STANDOFF_right_ankle_pitch,sts3250_pcd14_child_standoff_to_carrier,right_ankle_roll_carrier,ZEROTH01_V4_STS3250_PCD14_CHILD_STANDOFF_12P95MM.SLDPRT,0.0,PASS
S18_STS3250_left_ankle_roll,purchased_exact_sts3250,left_ankle_roll_carrier,ZEROTH01_V4_STS3250_STEP_PARTS_EXACT_SHAFT_FRAME.SLDPRT,0.0,PASS
S18_PCD14_OUTPUT_BRIDGE_left_ankle_roll,sts3250_pcd14_output_bridge_to_child,FOOT,ZEROTH01_V4_STS3250_PCD14_OUTPUT_BRIDGE_2P05MM.SLDPRT,0.0,PASS
S17_STS3250_right_ankle_roll,purchased_exact_sts3250,right_ankle_roll_carrier,ZEROTH01_V4_STS3250_STEP_PARTS_EXACT_SHAFT_FRAME.SLDPRT,0.0,PASS
S17_PCD14_OUTPUT_BRIDGE_right_ankle_roll,sts3250_pcd14_output_bridge_to_child,FOOT_2,ZEROTH01_V4_STS3250_PCD14_OUTPUT_BRIDGE_2P05MM.SLDPRT,0.0,PASS
LEFT_ANKLE_ROLL_CARRIER,direct_ankle_roll_parent_carrier,left_ankle_roll_carrier,ZEROTH01_V4_LEFT_DIRECT_ANKLE_CARRIER_26P5MM.SLDPRT,0.0,PASS
RIGHT_ANKLE_ROLL_CARRIER,direct_ankle_roll_parent_carrier,right_ankle_roll_carrier,ZEROTH01_V4_RIGHT_DIRECT_ANKLE_CARRIER_26P5MM.SLDPRT,0.0,PASS
