link,subassembly,servo_ids,method,status
FINGER_1_2,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_FINGER_1_2.SLDASM,,reuse_existing_link_subassembly,PASS
FOOT,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_FOOT.SLDASM,,reuse_existing_link_subassembly,PASS
FOOT_2,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_FOOT_2.SLDASM,,reuse_existing_link_subassembly,PASS
IMU_2,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_IMU_2.SLDASM,,reuse_existing_link_subassembly,PASS
L_ARM_MIRROR_1,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_L_ARM_MIRROR_1.SLDASM,,reuse_existing_link_subassembly,PASS
R_ARM_MIRROR_1,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_R_ARM_MIRROR_1.SLDASM,,reuse_existing_link_subassembly,PASS
U_HIP_L,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_U_HIP_L.SLDASM,,reuse_existing_link_subassembly,PASS
U_HIP_R,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_U_HIP_R.SLDASM,,reuse_existing_link_subassembly,PASS
Z_BOT2_MASTER_SHOULDER2,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_Z_BOT2_MASTER_SHOULDER2.SLDASM,,reuse_existing_link_subassembly,PASS
Z_BOT2_MASTER_SHOULDER2_2,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_Z_BOT2_MASTER_SHOULDER2_2.SLDASM,,reuse_existing_link_subassembly,PASS
