role,name,component,part,attachment,material_set,transform_readback_max_abs_error,status,servo_id,id_color_hex,visual_color_hex,mechanical_semantics
round_v1_printed_overlay,ROUND_PELVIS_BACK,ZEROTH01_ROUND_V1_PELVIS_BACK-1,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V1_PELVIS_BACK.SLDPRT,Torso,True,0.000e+00,PASS,,,,
nonphysical_screen_ui_reference,ROUND_FACE_UI,ZEROTH01_ROUND_V3_FACE_UI-1,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V3_FACE_UI.SLDPRT,Torso,True,0.000e+00,PASS,,,,
round_v3_continuous_black_screen_overlay,ROUND_VISOR,ZEROTH01_ROUND_V3_VISOR-1,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V3_VISOR.SLDPRT,Torso,True,0.000e+00,PASS,,,,
sensor_window_visual,ROUND_CAMERA_LENSES,ZEROTH01_ROUND_V3_CAMERA_SENSOR_WINDOWS-1,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V3_CAMERA_SENSOR_WINDOWS.SLDPRT,Torso,True,0.000e+00,PASS,,,,
internal_parent_frame_structure,ROUND_TORSO_SPINE,ZEROTH01_ROUND_V1_TORSO_SPINE-1,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V1_TORSO_SPINE.SLDPRT,Torso,True,0.000e+00,PASS,,,,
selected_vendor_head_display_controlled_envelope,ROUND_EYE_DISPLAY_MODULE,ZEROTH01_ROUND_V3_WAVESHARE_4_3_DSI_DISPLAY-1,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V3_WAVESHARE_4_3_DSI_DISPLAY.SLDPRT,Torso,True,0.000e+00,PASS,,,,
selected_vendor_camera_measured_envelope,ROUND_CAMERA_MODULE,ZEROTH01_ROUND_V1_CAMERA_MODULE-1,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V1_CAMERA_MODULE.SLDPRT,Torso,True,0.000e+00,PASS,,,,
selected_sensor_assumed_carrier_envelope,ROUND_TOF_MODULE,ZEROTH01_ROUND_V2_TOF_MODULE-1,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V2_TOF_MODULE.SLDPRT,Torso,True,0.000e+00,PASS,,,,
assumed_rl_electronics_envelope,ROUND_IMU_MODULE,ZEROTH01_ROUND_V1_IMU_MODULE-1,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V1_IMU_MODULE.SLDPRT,Torso,True,0.000e+00,PASS,,,,
assumed_rl_electronics_envelope,ROUND_COMPUTE_MODULE,ZEROTH01_ROUND_V1_COMPUTE_MODULE-1,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V1_COMPUTE_MODULE.SLDPRT,Torso,True,0.000e+00,PASS,,,,
assumed_rl_electronics_envelope,ROUND_BATTERY_PACK,ZEROTH01_ROUND_V1_BATTERY_PACK-1,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V1_BATTERY_PACK.SLDPRT,Torso,True,0.000e+00,PASS,,,,
round_v3_printed_arm_overlay,ROUND_RIGHT_UPPER_ARM_SLEEVE,ZEROTH01_ROUND_V3_RIGHT_UPPER_ARM_SLEEVE-1,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V3_RIGHT_UPPER_ARM_SLEEVE.SLDPRT,right_shoulder_yaw_motor,True,2.220e-16,PASS,,,,
round_v3_printed_arm_overlay,ROUND_LEFT_UPPER_ARM_SLEEVE,ZEROTH01_ROUND_V3_LEFT_UPPER_ARM_SLEEVE-1,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V3_LEFT_UPPER_ARM_SLEEVE.SLDPRT,left_shoulder_yaw_motor,True,1.110e-16,PASS,,,,
round_v3_printed_arm_overlay,ROUND_RIGHT_FOREARM_SLEEVE,ZEROTH01_ROUND_V3_RIGHT_FOREARM_SLEEVE-1,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V3_RIGHT_FOREARM_SLEEVE.SLDPRT,Left_Hand,True,2.220e-16,PASS,,,,
round_v3_printed_arm_overlay,ROUND_LEFT_FOREARM_SLEEVE,ZEROTH01_ROUND_V3_LEFT_FOREARM_SLEEVE-1,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V3_LEFT_FOREARM_SLEEVE.SLDPRT,hand_right,True,2.220e-16,PASS,,,,
round_v3_printed_chibi_hand_overlay,ROUND_RIGHT_CHIBI_HAND,ZEROTH01_ROUND_V3_RIGHT_CHIBI_HAND-1,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V3_RIGHT_CHIBI_HAND.SLDPRT,Left_Hand,True,2.220e-16,PASS,,,,
round_v3_printed_chibi_hand_overlay,ROUND_LEFT_CHIBI_HAND,ZEROTH01_ROUND_V3_LEFT_CHIBI_HAND-1,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V3_LEFT_CHIBI_HAND.SLDPRT,hand_right,True,2.220e-16,PASS,,,,
round_v1_printed_overlay,ROUND_LEFT_SOLE,ZEROTH01_ROUND_V1_LEFT_SOLE-1,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V1_LEFT_SOLE.SLDPRT,foot_left,True,2.220e-16,PASS,,,,
round_v1_printed_overlay,ROUND_RIGHT_SOLE,ZEROTH01_ROUND_V1_RIGHT_SOLE-1,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V1_RIGHT_SOLE.SLDPRT,foot_right,True,2.220e-16,PASS,,,,
diagnostic_blue_sts3250_c001_envelope_original_mechanism_unchanged,right_shoulder_pitch,ZEROTH01_STS3250_C001_BLUE_DIAGNOSTIC-1,generated/solidworks/portable_flat_round_v3/ZEROTH01_STS3250_C001_BLUE_DIAGNOSTIC.SLDPRT,Torso,True,0.000e+00,PASS,S01,#E6194B,#1677FF,"dimension-controlled housing follows the parent-side joint frame for visibility only; it is not an added physical servo, horn, cage, collision, or inertial body"
diagnostic_blue_sts3250_c001_envelope_original_mechanism_unchanged,left_shoulder_pitch,ZEROTH01_STS3250_C001_BLUE_DIAGNOSTIC-2,generated/solidworks/portable_flat_round_v3/ZEROTH01_STS3250_C001_BLUE_DIAGNOSTIC.SLDPRT,Torso,True,2.220e-16,PASS,S02,#3CB44B,#1677FF,"dimension-controlled housing follows the parent-side joint frame for visibility only; it is not an added physical servo, horn, cage, collision, or inertial body"
diagnostic_blue_sts3250_c001_envelope_original_mechanism_unchanged,right_shoulder_yaw,ZEROTH01_STS3250_C001_BLUE_DIAGNOSTIC-3,generated/solidworks/portable_flat_round_v3/ZEROTH01_STS3250_C001_BLUE_DIAGNOSTIC.SLDPRT,shoulder_yaw_right,True,2.220e-16,PASS,S03,#4363D8,#1677FF,"dimension-controlled housing follows the parent-side joint frame for visibility only; it is not an added physical servo, horn, cage, collision, or inertial body"
diagnostic_blue_sts3250_c001_envelope_original_mechanism_unchanged,right_hip_pitch,ZEROTH01_STS3250_C001_BLUE_DIAGNOSTIC-4,generated/solidworks/portable_flat_round_v3/ZEROTH01_STS3250_C001_BLUE_DIAGNOSTIC.SLDPRT,Torso,True,0.000e+00,PASS,S04,#F58231,#1677FF,"dimension-controlled housing follows the parent-side joint frame for visibility only; it is not an added physical servo, horn, cage, collision, or inertial body"
diagnostic_blue_sts3250_c001_envelope_original_mechanism_unchanged,left_hip_pitch,ZEROTH01_STS3250_C001_BLUE_DIAGNOSTIC-5,generated/solidworks/portable_flat_round_v3/ZEROTH01_STS3250_C001_BLUE_DIAGNOSTIC.SLDPRT,Torso,True,2.220e-16,PASS,S05,#911EB4,#1677FF,"dimension-controlled housing follows the parent-side joint frame for visibility only; it is not an added physical servo, horn, cage, collision, or inertial body"
diagnostic_blue_sts3250_c001_envelope_original_mechanism_unchanged,left_shoulder_yaw,ZEROTH01_STS3250_C001_BLUE_DIAGNOSTIC-6,generated/solidworks/portable_flat_round_v3/ZEROTH01_STS3250_C001_BLUE_DIAGNOSTIC.SLDPRT,shoulder_yaw_left,True,2.220e-16,PASS,S06,#42D4F4,#1677FF,"dimension-controlled housing follows the parent-side joint frame for visibility only; it is not an added physical servo, horn, cage, collision, or inertial body"
diagnostic_blue_sts3250_c001_envelope_original_mechanism_unchanged,right_hip_yaw,ZEROTH01_STS3250_C001_BLUE_DIAGNOSTIC-7,generated/solidworks/portable_flat_round_v3/ZEROTH01_STS3250_C001_BLUE_DIAGNOSTIC.SLDPRT,hip_yaw_right,True,2.220e-16,PASS,S07,#F032E6,#1677FF,"dimension-controlled housing follows the parent-side joint frame for visibility only; it is not an added physical servo, horn, cage, collision, or inertial body"
diagnostic_blue_sts3250_c001_envelope_original_mechanism_unchanged,left_hip_yaw,ZEROTH01_STS3250_C001_BLUE_DIAGNOSTIC-8,generated/solidworks/portable_flat_round_v3/ZEROTH01_STS3250_C001_BLUE_DIAGNOSTIC.SLDPRT,hip_yaw_left,True,2.220e-16,PASS,S08,#BFEF45,#1677FF,"dimension-controlled housing follows the parent-side joint frame for visibility only; it is not an added physical servo, horn, cage, collision, or inertial body"
diagnostic_blue_sts3250_c001_envelope_original_mechanism_unchanged,right_elbow_yaw,ZEROTH01_STS3250_C001_BLUE_DIAGNOSTIC-9,generated/solidworks/portable_flat_round_v3/ZEROTH01_STS3250_C001_BLUE_DIAGNOSTIC.SLDPRT,right_shoulder_yaw_motor,True,2.220e-16,PASS,S09,#FABED4,#1677FF,"dimension-controlled housing follows the parent-side joint frame for visibility only; it is not an added physical servo, horn, cage, collision, or inertial body"
diagnostic_blue_sts3250_c001_envelope_original_mechanism_unchanged,left_elbow_yaw,ZEROTH01_STS3250_C001_BLUE_DIAGNOSTIC-10,generated/solidworks/portable_flat_round_v3/ZEROTH01_STS3250_C001_BLUE_DIAGNOSTIC.SLDPRT,left_shoulder_yaw_motor,True,2.220e-16,PASS,S10,#469990,#1677FF,"dimension-controlled housing follows the parent-side joint frame for visibility only; it is not an added physical servo, horn, cage, collision, or inertial body"
diagnostic_blue_sts3250_c001_envelope_original_mechanism_unchanged,right_hip_roll,ZEROTH01_STS3250_C001_BLUE_DIAGNOSTIC-11,generated/solidworks/portable_flat_round_v3/ZEROTH01_STS3250_C001_BLUE_DIAGNOSTIC.SLDPRT,hip_roll_right,True,2.220e-16,PASS,S11,#DCBEFF,#1677FF,"dimension-controlled housing follows the parent-side joint frame for visibility only; it is not an added physical servo, horn, cage, collision, or inertial body"
diagnostic_blue_sts3250_c001_envelope_original_mechanism_unchanged,left_hip_roll,ZEROTH01_STS3250_C001_BLUE_DIAGNOSTIC-12,generated/solidworks/portable_flat_round_v3/ZEROTH01_STS3250_C001_BLUE_DIAGNOSTIC.SLDPRT,hip_roll_left,True,0.000e+00,PASS,S12,#9A6324,#1677FF,"dimension-controlled housing follows the parent-side joint frame for visibility only; it is not an added physical servo, horn, cage, collision, or inertial body"
diagnostic_blue_sts3250_c001_envelope_original_mechanism_unchanged,right_knee_pitch,ZEROTH01_STS3250_C001_BLUE_DIAGNOSTIC-13,generated/solidworks/portable_flat_round_v3/ZEROTH01_STS3250_C001_BLUE_DIAGNOSTIC.SLDPRT,knee_pitch_right,True,2.220e-16,PASS,S13,#FFE119,#1677FF,"dimension-controlled housing follows the parent-side joint frame for visibility only; it is not an added physical servo, horn, cage, collision, or inertial body"
diagnostic_blue_sts3250_c001_envelope_original_mechanism_unchanged,left_knee_pitch,ZEROTH01_STS3250_C001_BLUE_DIAGNOSTIC-14,generated/solidworks/portable_flat_round_v3/ZEROTH01_STS3250_C001_BLUE_DIAGNOSTIC.SLDPRT,knee_pitch_right_2,True,1.110e-16,PASS,S14,#000075,#1677FF,"dimension-controlled housing follows the parent-side joint frame for visibility only; it is not an added physical servo, horn, cage, collision, or inertial body"
diagnostic_blue_sts3250_c001_envelope_original_mechanism_unchanged,right_ankle_pitch,ZEROTH01_STS3250_C001_BLUE_DIAGNOSTIC-15,generated/solidworks/portable_flat_round_v3/ZEROTH01_STS3250_C001_BLUE_DIAGNOSTIC.SLDPRT,ankle_pitch_right,True,2.220e-16,PASS,S15,#FF6F61,#1677FF,"dimension-controlled housing follows the parent-side joint frame for visibility only; it is not an added physical servo, horn, cage, collision, or inertial body"
diagnostic_blue_sts3250_c001_envelope_original_mechanism_unchanged,left_ankle_pitch,ZEROTH01_STS3250_C001_BLUE_DIAGNOSTIC-16,generated/solidworks/portable_flat_round_v3/ZEROTH01_STS3250_C001_BLUE_DIAGNOSTIC.SLDPRT,ankle_pitch_left,True,2.220e-16,PASS,S16,#006B3C,#1677FF,"dimension-controlled housing follows the parent-side joint frame for visibility only; it is not an added physical servo, horn, cage, collision, or inertial body"
